STARTING NiCd/NiMH CHARGE
Vmax: 10.68, Imax: 0.04, #cells: 6
V;I;tHrs;tMin;tSec;PWM
 8.80;0.04;00:03:49;076
 8.82;0.03;00:03:50;077
 8.82;0.04;00:03:51;076
 8.82;0.04;00:03:52;076
 8.82;0.04;00:03:53;076
 8.82;0.03;00:03:54;077
 8.82;0.04;00:03:55;076
 8.82;0.04;00:03:56;076
 8.82;0.04;00:03:57;076
 8.83;0.04;00:03:58;076
 8.83;0.03;00:03:59;077
 8.83;0.04;00:04:00;076
 8.83;0.04;00:04:01;077
 8.83;0.04;00:04:02;076
 8.83;0.04;00:04:03;076
 8.84;0.03;00:04:04;078
 8.85;0.03;00:04:05;078
 8.85;0.04;00:04:06;077
 8.85;0.04;00:04:07;077
 8.85;0.04;00:04:08;077
 8.85;0.04;00:04:09;077
 8.85;0.04;00:04:10;077
 8.85;0.04;00:04:11;077
 8.85;0.04;00:04:12;077
 8.86;0.03;00:04:13;078
 8.85;0.04;00:04:14;077
 8.86;0.04;00:04:15;077
 8.86;0.04;00:04:16;078
 8.86;0.04;00:04:17;078
 8.86;0.04;00:04:18;078
 8.86;0.04;00:04:19;078
 8.86;0.03;00:04:20;078
 8.86;0.04;00:04:21;077
 8.87;0.03;00:04:22;078
 8.88;0.03;00:04:23;079
 8.88;0.03;00:04:24;079
 8.88;0.04;00:04:25;078
 8.88;0.03;00:04:26;080
 8.88;0.03;00:04:27;079
 8.88;0.03;00:04:28;079
 8.88;0.04;00:04:29;078
 8.88;0.04;00:04:30;078
 8.88;0.04;00:04:31;078
 8.88;0.04;00:04:32;078
 8.89;0.04;00:04:33;078
 8.89;0.03;00:04:34;079
 8.89;0.03;00:04:35;080
 8.89;0.04;00:04:36;078
 8.89;0.04;00:04:37;079
 8.89;0.04;00:04:38;078
 8.89;0.04;00:04:39;079
 8.89;0.04;00:04:40;079
 8.89;0.04;00:04:41;079
 8.90;0.03;00:04:42;080
 8.91;0.04;00:04:43;080
 8.91;0.03;00:04:44;079
 8.91;0.04;00:04:45;079
 8.91;0.04;00:04:46;079
 8.91;0.03;00:04:47;080
 8.91;0.03;00:04:48;079
 8.91;0.04;00:04:49;079
 8.91;0.04;00:04:50;079
 8.91;0.04;00:04:51;079
 8.91;0.04;00:04:52;079
 8.91;0.04;00:04:53;080
